"artist_name","verification_status","confidence_score","genres","notes"
"$NOT","PROBABLE","65","Hip-Hop, Trap, Rage","Edy Edgar Echelus. Parents haïtiens évoqués. Sources à confirmer."
"4 Let Nan Pwen","PROBABLE","68","Compas","Groupe compas haïtien."
"5Lan (Dols)","PROBABLE","72","Compas","Membre du groupe 5Lan. Sources limitées."
"Adorons l'Éternel","PROBABLE","72","Gospel, Worship","Groupe worship haïtien. Sources limitées."
"Alain Jean-Pierre","PROBABLE","72","Compas, Jazz","Musicien haïtien compas/jazz."
"Alex Abélard","PROBABLE","72","Compas","Musicien compas haïtien."
"Alex Volcy","PROBABLE","70","Compas","Artiste compas haïtien."
"Alix Pascal","PROBABLE","70","Compas","Musicien compas haïtien historique."
"Allen Kass","PROBABLE","72","Compas, Pop","Artiste compas haïtien émergent."
"Althéa Jean","PROBABLE","72","Pop, World","Chanteuse haïtienne diaspora. Sources limitées."
"Archie Eversole","PROBABLE","60","Hip-Hop, Crunk","Rappeur Atlanta. Origine haïtienne parfois mentionnée. Décédé 2022."
"Awozam","PROBABLE","68","Racine","Groupe racine haïtien. Sources limitées."
"Bandi Legal","PROBABLE","72","Rap Kreyòl","Rappeur haïtien. Sources limitées."
"Bato","PROBABLE","70","Rabòday, Rap Kreyòl","Artiste rabòday haïtien. Sources limitées."
"Beethova Edmond","PROBABLE","70","Compas","Musicien compas haïtien."
"Beethoven (compas)","PROBABLE","70","Compas, Pop","Artiste compas haïtien. Ne pas confondre avec Beethova Obas."
"Bel Jazz","PROBABLE","68","Compas, Jazz","Groupe compas/jazz haïtien. Sources limitées."
"Bel Plezi","PROBABLE","70","Compas","Groupe compas haïtien."
"Bélé Bélé","PROBABLE","68","Compas, Pop","Artiste compas haïtien émergent. Sources limitées."
"Belo (jeune génération)","PROBABLE","65","Compas, Pop","Homonyme potentiel avec BelO (batch-001). À clarifier."
"Bertrand Desprez (MC)","PROBABLE","65","Hip-Hop","Rappeur diaspora France. Sources limitées."
"Béthanie (groupe gospel)","PROBABLE","70","Gospel","Groupe gospel haïtien."
"Black Parents (lead vocal)","PROBABLE","68","Compas","Vocaliste Black Parents."
"Bòs TV","PROBABLE","70","Rabòday","Artiste rabòday haïtien. Sources limitées."
"Bro Michel Louis","PROBABLE","68","Gospel","Artiste gospel haïtien."
"Brothers (groupe Cap)","PROBABLE","68","Compas","Groupe compas Cap-Haïtien. Sources limitées."
"Brothers of the Drum (Haiti)","PROBABLE","68","Racine, Percussion","Collectif percussionnistes haïtiens. Sources limitées."
"Bub Styles","PROBABLE","68","Hip-Hop","Rappeur diaspora haïtienne. Sources limitées."
"Carl-Henry Desmornes","PROBABLE","70","Gospel","Chanteur gospel haïtien."
"Cassha","PROBABLE","68","Rap Kreyòl, Trap","Rappeur haïtien émergent. Sources limitées."
"Castera Bazile","PROBABLE","68","Chanson","Artiste haïtien historique. Sources limitées."
"Chabba","PROBABLE","70","Compas, Pop","Artiste compas haïtien nouvelle génération."
"Chal","PROBABLE","70","Rap Kreyòl","Rappeur haïtien. Sources limitées."
"Chal Gason","PROBABLE","70","Twoubadou","Artiste twoubadou haïtien."
"Chandèl","PROBABLE","72","Racine, Vodou rock","Groupe racine haïtien."
"Clever","PROBABLE","72","Hip-Hop, Trap","Rappeur floridien. Origine haïtienne évoquée."
"Coupé Cloué II","PROBABLE","72","Compas","Fils de Coupé Cloué. Artiste compas continuant l'héritage paternel."
"Coupé Cloué Jr","PROBABLE","70","Compas","Fils de Coupé Cloué. Peu de sources indépendantes."
"Cubano","PROBABLE","68","Compas","Artiste compas haïtien. Sources limitées."
"Dady (Les Cayes)","PROBABLE","68","Compas","Artiste compas régional Les Cayes. Sources limitées."
"Daly","PROBABLE","68","Compas","Artiste compas haïtien. Sources limitées."
"Daniel Estimé","PROBABLE","70","Gospel","Artiste gospel haïtien."
"Daphnée Charles","PROBABLE","70","Gospel","Chanteuse gospel haïtienne."
"David Dupont Bongarde","PROBABLE","68","Compas","Artiste compas. Sources limitées."
"D-Fi","PROBABLE","68","Compas","Groupe compas haïtien."
"DJ Swetty Tet","PROBABLE","70","DJ, Rabòday","DJ rabòday haïtien. Sources limitées."
"Djazz La","PROBABLE","68","Compas, Jazz","Formation compas/jazz haïtienne. Sources limitées."
"Djo Lissaint","PROBABLE","68","Twoubadou, Compas","Artiste haïtien historique. Sources insuffisantes."
"Dòf","PROBABLE","68","Compas","Artiste compas. Sources limitées."
"Dread Jimi","PROBABLE","70","Reggae","Artiste reggae haïtien. Sources limitées."
"Dread Pyè","PROBABLE","70","Reggae, Racine","Artiste reggae haïtien. Sources limitées."
"Dro (producteur HT)","PROBABLE","65","Production, Trap","Producteur haïtien. Sources limitées."
"Dro Fe","PROBABLE","65","Hip-Hop, Trap","Rappeur diaspora haïtienne. Sources limitées."
"Dutty","PROBABLE","70","Rap Kreyòl","Rappeur haïtien. Ne pas confondre avec Dutty Boukman Eksperyans (batch-005)."
"Eddy Brisseaux","PROBABLE","72","Compas","Musicien compas haïtien."
"Eliézer","PROBABLE","68","Gospel","Artiste gospel haïtien. Sources limitées."
"Élisabeth Préval","PROBABLE","68","Compas, Pop","Artiste haïtienne. Sources limitées."
"Emeline Pierre","PROBABLE","68","Gospel","Haitian gospel artist. Limited sources."
"Emmelie Prophète","PROBABLE","65","Chanson","Écrivaine/chanteuse haïtienne. Activité musicale secondaire."
"Enold Armand","PROBABLE","70","Compas","Musicien compas haïtien historique."
"Enposib (lead singer - Jean-Marc)","PROBABLE","72","Compas","Chanteur principal Enposib."
"Ericka Fleurival","PROBABLE","70","Gospel","Chanteuse gospel haïtienne."
"Ernst Louis","PROBABLE","70","Compas","Musicien compas haïtien."
"Etzer Vilaire (compas)","PROBABLE","68","Compas","Musicien compas haïtien."
"Evancia Barthélemy","PROBABLE","70","Gospel","Chanteuse gospel haïtienne."
"Évangélisation par la Musique","PROBABLE","72","Gospel","Groupe gospel haïtien. Sources limitées."
"Evenson Pierre","PROBABLE","72","Gospel","Artiste gospel haïtien. Sources limitées."
"Fabien Pricis","PROBABLE","68","Gospel","Artiste gospel haïtien. Sources limitées."
"Fatima","PROBABLE","72","Pop, Compas","Artiste haïtienne. Sources limitées. Slug distinctif."
"Flee Lord","PROBABLE","72","Hip-Hop","Rappeur NYC. Origine haïtienne évoquée. À confirmer."
"Flex (Haiti)","PROBABLE","70","Compas, Pop","Artiste compas haïtien émergent."
"Franck Lefèvre","PROBABLE","68","Gospel","Artiste gospel haïtien."
"Frantz Sephirin","PROBABLE","72","Gospel","Chanteur gospel haïtien."
"Frap La","PROBABLE","70","Rabòday, Rap Kreyòl","Artiste rabòday/rap haïtien. Sources limitées."
"Fré Gabe","PROBABLE","70","Gospel","Chanteur gospel haïtien. Sources limitées."
"Frère Tob","PROBABLE","68","Gospel","Chanteur gospel haïtien."
"Fréro","PROBABLE","70","Compas, Pop","Artiste compas haïtien. Sources limitées."
"Fresh Gospel","PROBABLE","65","Gospel","Groupe gospel haïtien. Sources limitées."
"G La","PROBABLE","68","Rabòday","Artiste rabòday haïtien. Sources limitées."
"Gabel Tony","PROBABLE","70","Compas","Artiste compas haïtien associé à Gabel. Sources limitées."
"Garcia Delva","PROBABLE","70","Compas","Politicien/musicien haïtien. Sources musicales limitées."
"Gary French","PROBABLE","70","Compas, Pop","Artiste compas. Sources limitées."
"Gérald Altéus","PROBABLE","72","Twoubadou, Chanson","Artiste twoubadou haïtien."
"Gérard Daniel","PROBABLE","70","Compas","Musicien compas haïtien historique."
"Gétro Guevara","PROBABLE","70","Gospel, Worship","Artiste gospel haïtien. Sources limitées."
"Ginou Thylma","PROBABLE","72","Gospel, Worship","Chanteuse gospel haïtienne."
"Gonzales","PROBABLE","68","Compas","Artiste compas haïtien. Sources limitées."
"Gonzalo Teppa Haiti","PROBABLE","65","Compas, World","Musicien compas/world. Sources limitées."
"Grâce Divine (worship)","PROBABLE","68","Gospel, Worship","Groupe worship haïtien."
"G-Unit Haiti","PROBABLE","65","Rap Kreyòl","Groupe rap. Sources insuffisantes pour vérification complète."
"Haïti Louange","PROBABLE","68","Gospel, Worship","Groupe worship haïtien. Sources limitées."
"Haitian J.R.","PROBABLE","72","Rap Kreyòl","Rappeur haïtien. Sources limitées."
"Harold and The Hit Makers","PROBABLE","70","Compas","Groupe compas haïtien."
"Harold Isaac","PROBABLE","72","Gospel, Worship","Chanteur gospel haïtien."
"Harold Lamy","PROBABLE","72","Compas","Musicien compas haïtien."
"Hernandez (3K)","PROBABLE","65","Hip-Hop, Trap","Rappeur diaspora. Sources limitées."
"Impact Gospel","PROBABLE","68","Gospel","Groupe gospel haïtien."
"Jackson Noël","PROBABLE","70","Compas","Artiste compas haïtien."
"Jako (Ti-Jako)","PROBABLE","68","Compas","Artiste compas haïtien. Sources limitées."
"James The Prophet","PROBABLE","70","Gospel, Worship","Artiste gospel diaspora. Sources limitées."
"Jay Nahge","PROBABLE","70","Hip-Hop, Trap","Rappeur américain d'origine haïtienne."
"Jean Alix Pascal","PROBABLE","70","Compas","Musicien compas haïtien historique."
"Jean Erich René","PROBABLE","70","Compas, Jazz","Musicien haïtien historique."
"Jean Gardy Bien-Aimé","PROBABLE","70","Gospel","Chanteur gospel haïtien."
"Jean Jean Pierre Gospel","PROBABLE","68","Gospel","Artiste gospel haïtien. Sources limitées."
"Jean Thomas (Ti-Jean)","PROBABLE","68","Twoubadou","Artiste twoubadou haïtien historique. Sources limitées."
"Jean Winer","PROBABLE","72","Compas, Production","Producteur/musicien compas haïtien."
"Jean-Claude Martineau","PROBABLE","72","Chanson, Poésie musicale","Poète/chanteur haïtien. Frontière chanson/poésie."
"Jean-Michel St. Preux","PROBABLE","72","Compas","Musicien compas haïtien."
"Jeff (5Lan)","PROBABLE","70","Compas","Membre du groupe 5Lan. Sources limitées."
"Jimmy O","PROBABLE","68","Compas","Artiste compas haïtien. Sources limitées."
"Jocelyne Béroard","PROBABLE","72","Zouk, Compas","Kassav'. Martiniquaise. Origine haïtienne partielle non confirmée."
"Joe Praize Haiti","PROBABLE","65","Gospel","Artiste gospel haïtien. Sources limitées."
"Joel Dejean","PROBABLE","72","Gospel, Worship","Chanteur gospel haïtien."
"Joël Lochard","PROBABLE","72","Compas, Jazz","Musicien haïtien. Sources limitées."
"Johnny Francois","PROBABLE","68","Compas","Artiste compas haïtien. Sources limitées."
"Jonathan Seymour","PROBABLE","72","Gospel","Artiste gospel haïtien."
"Joseph Augustin","PROBABLE","70","Gospel, Chanson","Artiste gospel haïtien."
"Jude (producteur)","PROBABLE","70","Production, Compas","Producteur haïtien. Sources limitées."
"Jude Célestin","PROBABLE","72","Gospel","Chanteur gospel haïtien."
"Jude Deslouches","PROBABLE","70","Jazz, Production","Musicien/producteur haïtien diaspora."
"Kadans","PROBABLE","68","Compas, Pop","Peu de sources. À vérifier."
"Kado","PROBABLE","68","Compas","Artiste compas haïtien. Sources limitées."
"Karaoké Band","PROBABLE","65","Compas","Groupe compas haïtien. Sources limitées."
"Karizma (gospel Haiti)","PROBABLE","70","Gospel","Groupe gospel haïtien."
"King Kino","PROBABLE","72","Compas","Artiste compas haïtien. Sources limitées."
"King Richard","PROBABLE","68","Compas","Artiste compas haïtien. Sources limitées."
"Kite-M La","PROBABLE","65","Compas","Groupe compas haïtien. Sources limitées."
"Klèb (Klass)","PROBABLE","70","Compas","Musicien du groupe Klass."
"Kompa direct","PROBABLE","70","Compas","Ensemble historique de Nemours. Confusion possible avec le genre."
"Kompa Magazine Band","PROBABLE","68","Compas","Groupe compas. Sources limitées."
"Konbit Lakay","PROBABLE","72","Gospel, Worship","Groupe gospel haïtien."
"Kwame Nkrumah-Acheampong","PROBABLE","62","Jazz, Production","Musicien diaspora. Sources limitées."
"La Chapelle (gospel)","PROBABLE","70","Gospel, Worship","Groupe worship haïtien. Sources limitées."
"Laguerre Bossou","PROBABLE","65","Gospel","Artiste gospel haïtien. Sources limitées."
"Larose","PROBABLE","70","Compas","Artiste compas haïtien. Sources limitées."
"Le Konpa","PROBABLE","68","Compas","Groupe compas haïtien. Sources limitées."
"Leaf","PROBABLE","65","Hip-Hop, R&B","Artiste diaspora. Origine haïtienne non confirmée."
"Lenky Marsden","PROBABLE","62","Hip-Hop, Production","Producteur. Origine haïtienne non confirmée."
"Levanjil","PROBABLE","68","Gospel","Groupe gospel haïtien."
"Lil Kev","PROBABLE","68","Rap Kreyòl, Trap","Rappeur haïtien. Sources limitées."
"Lil Uzi Vert","PROBABLE","60","Hip-Hop, Trap, Punk Rap","Symere Bysil Woods. Origine haïtienne parfois mentionnée mais non confirmée officiellement."
"Liliking","PROBABLE","72","Rap Kreyòl, Trap","Rappeur haïtien. Sources limitées."
"Louissaint Voltaire","PROBABLE","68","Gospel","Artiste gospel haïtien. Sources limitées."
"Lyonel Bénoit","PROBABLE","72","Compas, Twoubadou","Artiste haïtien historique."
"M.I.A. (rapper)","PROBABLE","65","Hip-Hop","Pas Mathangi. Rappeuse Miami diaspora haïtienne. Sources limitées."
"Maestro","PROBABLE","68","Compas","Artiste compas. Homonyme possible. Sources limitées."
"Maffio","PROBABLE","65","Reggaeton, Latin, Production","Rafael De Jesus Vargas. Dominicain-Américain. PAS clairement haïtien. À vérifier."
"Maia Vidal","PROBABLE","65","Indie Pop, Folk","Artiste américaine. Ascendance haïtienne partielle. Sources limitées."
"Major Myjah","PROBABLE","65","Hip-Hop, Dancehall","Artiste diaspora. Sources limitées."
"Makila","PROBABLE","70","Rap Kreyòl","Rappeur haïtien émergent."
"Manès Mesidor","PROBABLE","70","Compas","Musicien compas haïtien."
"Manouchka","PROBABLE","72","Compas, Pop","Chanteuse haïtienne. Sources limitées."
"Manouchka Duret","PROBABLE","72","Gospel","Chanteuse gospel haïtienne."
"Manzè Bèl Nan Pwen","PROBABLE","65","Compas","Artiste haïtienne. Sources limitées."
"Manzè Karabela","PROBABLE","68","Rabòday, Pop","Artiste haïtienne. Sources limitées."
"Manzè Mètdam","PROBABLE","68","Rabòday","Artiste rabòday féminine haïtienne. Sources limitées."
"Marc Antoine","PROBABLE","72","Pop, R&B","Guitariste pop. Origine haïtienne partielle. À confirmer."
"Marc Arthur Pierre","PROBABLE","70","Gospel","Chanteur gospel haïtien."
"Marc Herman Benjamin","PROBABLE","68","Gospel","Artiste gospel haïtien."
"Marc-Antoine Auguste","PROBABLE","72","Jazz, Classique","Musicien jazz haïtien."
"Marie-Yolène Gilles","PROBABLE","70","Gospel","Chanteuse gospel haïtienne."
"Mass (compositeur)","PROBABLE","68","Compas","Compositeur compas haïtien. Sources limitées."
"Mass Attack","PROBABLE","70","Rap Kreyòl","Groupe rap haïtien."
"Maudely Mesidor","PROBABLE","70","Compas, Pop","Chanteuse compas haïtienne."
"Max Dougé","PROBABLE","68","Compas","Musicien compas haïtien."
"MC Pierre","PROBABLE","72","Compas, Pop","Artiste compas haïtien émergent. Sources limitées."
"MC Solaar","PROBABLE","60","Hip-Hop, Jazz Rap","Claude M'Barali. Tchad/Sénégal. Connexion haïtienne parfois mentionnée mais NON confirmée."
"Mikado","PROBABLE","70","Compas","Artiste compas haïtien. Sources limitées."
"Mikado (rap)","PROBABLE","68","Rap Kreyòl","Rappeur haïtien. Sources limitées."
"Moïse Télémaque","PROBABLE","70","Gospel","Chanteur gospel haïtien."
"Moment Donné","PROBABLE","70","Compas","Groupe compas haïtien."
"Murat Pierre","PROBABLE","70","Compas","Artiste compas haïtien Cap-Haïtien."
"Mystik (Les Cayes)","PROBABLE","68","Compas","Groupe compas régional Les Cayes."
"Mystik 703","PROBABLE","70","Rap Kreyòl","Groupe rap haïtien."
"Myzik Jazz","PROBABLE","70","Jazz, Compas","Formation jazz/compas haïtienne. Sources limitées."
"Nehemie","PROBABLE","70","Gospel","Artiste gospel haïtien. Sources limitées."
"Nou Pap Dòmi","PROBABLE","72","Rap Kreyòl, Protest","Collectif rap haïtien engagé."
"Nu Band","PROBABLE","70","Compas","Groupe compas haïtien."
"Nu Vice","PROBABLE","68","Compas","Groupe compas. Confusion possible avec T-Vice/Nu Look."
"Nu-Soul","PROBABLE","68","Compas, R&B","Groupe compas/R&B haïtien."
"Oj Da Juiceman","PROBABLE","62","Hip-Hop, Trap","Rappeur Atlanta. Origine haïtienne parfois mentionnée. Non confirmée."
"Orchestre Citadelle","PROBABLE","72","Compas","Orchestre compas Cap-Haïtien historique."
"Orchestre Unistar","PROBABLE","72","Compas","Orchestre compas haïtien."
"Osner Fevry","PROBABLE","72","Gospel","Chanteur gospel haïtien."
"Oswald","PROBABLE","70","Compas","Artiste compas. Sources limitées. Slug distinctif."
"P Jay","PROBABLE","70","Rap Kreyòl","Rappeur haïtien."
"P. Reign","PROBABLE","72","Hip-Hop, R&B","Preme. Toronto. Origine haïtienne évoquée."
"Pasteur Muscadin","PROBABLE","72","Gospel, Worship","Pasteur/chanteur gospel haïtien."
"Paulette Poujol Oriol","INSUFFICIENT_EVIDENCE","40","Chanson","Écrivaine haïtienne. Pas d'activité musicale documentée."
"Pè Fèt","PROBABLE","68","Rabòday","Artiste rabòday haïtien. Sources limitées."
"Pè Noël","PROBABLE","68","Gospel","Prêtre/chanteur gospel haïtien. Sources limitées."
"Pedro Mista","PROBABLE","72","Rabòday, Rap Kreyòl","Artiste rabòday haïtien. Sources limitées."
"Phatboi","PROBABLE","70","Hip-Hop, R&B","Artiste diaspora haïtienne. Sources limitées."
"Phénomène du Cap","PROBABLE","72","Compas","Groupe compas Cap-Haïtien."
"Pierre Richard Gervais","PROBABLE","68","Gospel","Artiste gospel haïtien. Sources limitées."
"Pierre-Louis Macena","PROBABLE","68","Gospel","Artiste gospel haïtien. Sources limitées."
"Pipo","PROBABLE","68","Compas","Artiste compas haïtien. Sources limitées."
"Polo (compas)","PROBABLE","68","Compas","Artiste compas haïtien. Sources limitées."
"Pòtoprens","PROBABLE","70","Compas","Groupe compas haïtien. Sources limitées."
"Prophète (musicien)","PROBABLE","65","Gospel","Artiste gospel haïtien. Sources limitées."
"RaBoukans","PROBABLE","72","Rap Kreyòl, Racine","Rappeur haïtien à influences racine. Sources limitées."
"Racine de Vivre","PROBABLE","70","Racine","Groupe racine haïtien. Sources limitées."
"Radio Panic Band","PROBABLE","68","Compas","Formation compas haïtienne. Sources limitées."
"Radio Star (Septentrional)","PROBABLE","70","Compas","Groupe compas haïtien Cap-Haïtien."
"Raphaël Nérestant","PROBABLE","70","Gospel","Artiste gospel haïtien."
"Rayne","PROBABLE","70","Pop, R&B","Artiste pop haïtienne. Sources limitées."
"Realmind","PROBABLE","68","Hip-Hop, Production","Producteur diaspora haïtienne. Sources limitées."
"Rédemption (gospel Haiti)","PROBABLE","68","Gospel","Groupe gospel haïtien."
"Réginald Bastien","PROBABLE","70","Compas","Artiste compas haïtien."
"Réginald Laurent","PROBABLE","68","Gospel","Chanteur gospel haïtien."
"Rémy Fils-Aimé","PROBABLE","72","Gospel","Chanteur gospel haïtien."
"Remy Ma","PROBABLE","60","Hip-Hop","Reminisce Mackie. Origine haïtienne parfois évoquée. Non pleinement confirmée."
"Rèv","PROBABLE","70","Compas","Groupe compas haïtien. Sources limitées."
"Rèv (Jacmel)","PROBABLE","68","Compas","Groupe compas régional Jacmel."
"Reynaldo","PROBABLE","70","Compas","Artiste compas haïtien émergent. Sources limitées."
"Reynold Bazile","PROBABLE","72","Gospel","Artiste gospel haïtien."
"Ricardo Franck","PROBABLE","72","Compas","Musicien compas haïtien."
"Rico (Jacmel)","PROBABLE","68","Compas","Artiste compas régional Jacmel."
"Rico Act","PROBABLE","68","Hip-Hop, Dancehall","Artiste diaspora. Sources limitées."
"Roach","PROBABLE","72","Rap Kreyòl, Trap","Rappeur haïtien. Sources limitées."
"Roach Killa","AMBIGUOUS","50","Rap","Rappeur. Origine haïtienne non confirmée de manière indépendante."
"Robert Télévision","PROBABLE","68","Compas","Artiste compas haïtien."
"Rodney Nunes","PROBABLE","70","Compas, Pop","Musicien compas haïtien."
"Roney","PROBABLE","70","Hip-Hop, Trap","Rappeur Toronto. Origine haïtienne évoquée."
"Rony Théophile","PROBABLE","70","Gospel, Worship","Chanteur gospel haïtien."
"Roody (Disip)","PROBABLE","70","Compas","Musicien du groupe Disip. Sources limitées."
"Roody Petuel","PROBABLE","70","Compas","Artiste compas haïtien. Sources limitées."
"Roro (compas)","PROBABLE","70","Compas","Artiste compas haïtien. Sources limitées."
"Roro Nelson","PROBABLE","70","Compas","Artiste compas haïtien."
"Roser (Septentrional/Cap)","PROBABLE","70","Compas","Musicien Cap-Haïtien. Septentrional."
"Sabine Bellevue","PROBABLE","72","Compas, Pop","Chanteuse haïtienne."
"SafTrap","PROBABLE","70","Trap, Rap Kreyòl","Artiste trap haïtien. Sources limitées."
"Sak Pase Ayiti","PROBABLE","65","Compas","Groupe compas haïtien. Sources limitées."
"Sam I Am","PROBABLE","65","Hip-Hop, Production","Producteur diaspora. Sources limitées."
"Sam-E-L","PROBABLE","70","R&B, Pop","Artiste R&B haïtien."
"Sammus","PROBABLE","68","Hip-Hop, Indie","Rappeuse. Ascendance haïtienne évoquée. Sources limitées."
"Samson (gospel/compas)","PROBABLE","68","Gospel, Compas","Artiste haïtien gospel/compas."
"Samuel Français","PROBABLE","68","Gospel","Artiste gospel haïtien."
"Samuel Robuste","PROBABLE","70","Gospel","Chanteur gospel haïtien."
"Sanders Jean","PROBABLE","72","Compas","Artiste compas haïtien. Sources limitées."
"Sarah Renelik","PROBABLE","70","R&B, Pop","Chanteuse française d'origine haïtienne."
"Sarodj Bertin","PROBABLE","72","Pop","Miss Haïti 2012. Activité musicale secondaire."
"Saseer (beatmaker)","PROBABLE","62","Production, Beats","Beatmaker diaspora. Sources limitées."
"Serge Belot","PROBABLE","68","Gospel","Artiste gospel haïtien."
"Serge Rosenthal","PROBABLE","72","Compas","Musicien compas haïtien historique."
"Shabazz PBG","PROBABLE","65","Hip-Hop","Rappeur diaspora. Origine haïtienne non pleinement confirmée."
"Shabba (rappeur diaspora)","AMBIGUOUS","55","Hip-Hop","Homonyme possible avec Shabba du batch-001. À clarifier."
"Shékinah","PROBABLE","70","Gospel, Worship","Groupe gospel haïtien."
"Sheldon Senior","PROBABLE","70","R&B, Pop","Artiste haïtien. Sources limitées."
"Skah Shah 2","PROBABLE","72","Compas","Deuxième formation du groupe Skah Shah."
"Smith Jean-Baptiste","PROBABLE","70","Compas","Musicien compas haïtien."
"Steelz","PROBABLE","70","Hip-Hop, EDM","Artiste/producteur diaspora haïtienne."
"Steeve Brunache","PROBABLE","72","Compas","Musicien compas haïtien."
"Tamise","PROBABLE","68","Compas, Pop","Artiste compas haïtien."
"Team Cash (Haiti)","PROBABLE","68","Rap Kreyòl","Collectif rap haïtien."
"Team Haiti","PROBABLE","65","Compas","Collectif compas haïtien."
"Tèt Dwat","PROBABLE","70","Rap Kreyòl","Rappeur haïtien. Sources limitées."
"Tha Rapper Haiti","PROBABLE","68","Rap Kreyòl, Trap","Rappeur haïtien. Sources limitées."
"Ti Ansyto","PROBABLE","72","Compas, Twoubadou","Chanteur haïtien. Fils spirituel compas twoubadou."
"Ti Jean (gospel)","PROBABLE","65","Gospel","Artiste gospel haïtien. Sources limitées."
"Ti Manno Jr","PROBABLE","68","Compas","Possible relation to Ti Manno. Limited sources."
"Ti Plume","PROBABLE","70","Compas","Artiste compas haïtien."
"Ti Rège","PROBABLE","70","Compas","Artiste compas haïtien Cap-Haïtien."
"Ti Simone","PROBABLE","70","Chanson, Folklore","Chanteuse haïtienne historique. Sources limitées."
"Ti Simone","PROBABLE","68","Folk, Vodou","Historical Haitian folk singer. Limited independent sources."
"Ti Wòch","PROBABLE","68","Gospel","Artiste gospel haïtien. Sources limitées."
"Titi (Pascal)","PROBABLE","72","Compas","Chanteur compas historique. Sources limitées."
"Tjaze","PROBABLE","72","Compas, Pop","Artiste compas haïtien émergent. Sources limitées."
"Tjooze","PROBABLE","70","Rap, Trap","Artiste trap haïtien. Sources limitées."
"Toby Charles","PROBABLE","70","Gospel","Artiste gospel haïtien."
"Tokay","PROBABLE","70","Racine","Groupe racine haïtien. Sources limitées."
"Tonton Bicha","PROBABLE","72","Compas, Humor","Artiste/humoriste haïtien. Frontière musique/comédie."
"Tonymix","PROBABLE","75","DJ, Rabòday","Possible doublon de Tony Mix. À vérifier."
"Top Kompa","PROBABLE","68","Compas","Groupe compas haïtien."
"Toro Band","PROBABLE","70","Compas","Groupe compas haïtien actif."
"Toto St-Marc","PROBABLE","70","Compas","Artiste compas haïtien historique."
"Triple Kay","PROBABLE","65","Compas","Groupe compas haïtien. Sources limitées."
"TurbulanceHT","PROBABLE","70","Rap Kreyòl, Dancehall","Artiste rap/dancehall haïtien."
"Val","PROBABLE","68","Compas, Pop","Artiste haïtien. Sources limitées."
"Val King","PROBABLE","70","Compas, Pop","Artiste compas haïtien."
"Val Seri","PROBABLE","68","Compas","Artiste compas haïtien. Sources limitées."
"Vision Céleste","PROBABLE","68","Gospel","Groupe gospel haïtien. Sources limitées."
"Volta Jazz d'Haïti","PROBABLE","72","Compas, Jazz","Formation jazz/compas haïtienne historique."
"Wanga Négès","PROBABLE","70","Racine","Groupe racine haïtien. Sources limitées."
"Watson Lalanne","PROBABLE","72","Compas","Musicien compas haïtien."
"Wawa (rapper)","PROBABLE","68","Rap Kreyòl","Rappeur haïtien. Sources limitées."
"Whimzikk","PROBABLE","70","Pop, R&B","Artiste pop diaspora haïtienne. Sources limitées."
"Widlore Mérancourt","PROBABLE","70","Gospel","Artiste gospel haïtien. Sources limitées."
"Wilbert Baigné","PROBABLE","72","Twoubadou, Compas","Artiste haïtien historique Cap-Haïtien."
"Woods","PROBABLE","65","Hip-Hop","Rappeur diaspora. Sources limitées."
"Yanick Lemoine","PROBABLE","70","Gospel","Chanteuse gospel haïtienne."
"Yollande Mathurin","PROBABLE","70","Gospel","Chanteuse gospel haïtienne."
"Young Zee","PROBABLE","65","Hip-Hop","Rappeur Outsidaz. Origine haïtienne évoquée. Non pleinement confirmée."
"Yvon Faille","PROBABLE","72","Compas","Musicien compas haïtien."
"Yvrose (gospel)","PROBABLE","68","Gospel","Chanteuse gospel haïtienne."
"Zèklè","PROBABLE","70","Compas, Jazz","Groupe compas/jazz haïtien. Sources limitées."
"Zo Trap","PROBABLE","68","Trap, Rap Kreyòl","Artiste trap haïtien. Sources limitées."
"Zoeja","PROBABLE","68","Hip-Hop, Trap","Rappeur diaspora haïtienne. Sources limitées."
